Geopotential,Geometric,temp c,temp k,g m/s**2,pressure N/m**2,density kg/m**3,viscosity Ns/M**2
-1000,-998.980632,21.5,-251.65,9.81,113900,1.347,182100
0,0,15,-258.15,9.807,101300,1.225,178900
1000,999.5920033,8.5,-264.65,9.804,89880,1.112,175800
2000,1999.795939,2,-271.15,9.801,79500,1.007,172600
3000,3000.918649,-4.49,-277.64,9.797,70120,0.9093,169400
4000,4002.45048,-10.98,-284.13,9.794,61660,0.8194,166100
5000,5004.596058,-17.47,-290.62,9.791,54050,0.7364,162800
6000,6007.355946,-23.96,-297.11,9.788,47220,0.6601,159500
7000,7010.73071,-30.45,-303.6,9.785,41110,0.59,156100
8000,8014.720916,-36.94,-310.09,9.782,35650,0.5258,152700
9000,9019.32713,-43.42,-316.57,9.779,30800,0.4671,149300
10000,10024.54992,-49.9,-323.05,9.776,26500,0.4135,145800
15000,15059.93238,-56.5,-329.65,9.761,12110,0.1948,142200
20000,20112.8784,-56.5,-329.65,9.745,5529,0.08891,142200
25000,25179.85612,-51.6,-324.75,9.73,2549,0.04008,144800
30000,30262.4807,-46.64,-319.79,9.715,1197,0.01841,147500
40000,40479.14085,-22.8,-295.95,9.684,287,0.003996,160100
50000,50756.16325,-2.5,-275.65,9.654,79.78,0.001027,170400
60000,61097.25686,-26.13,-299.28,9.624,21.96,0.0003097,158400
70000,71503.02272,-53.57,-326.72,9.594,5.2,0.00008283,143800
80000,81974.06943,-74.51,-347.66,9.564,1.1,0.00001846,132100
